PhraseNo,Phrase,IsHateSpeech
415,Sira kathawa ban eka nam,YES
416,නැතුව අර අන්තිමට කලින් නියම ඩමියක් දැම්මේ පොලිසියේ ඩයල් එකක් වැටෙන්න,YES
417,ඉතින් කොහොමද හොරෙක්ව වත් එලවලා අල්ලගන්නෙ...,YES
418,"කව්ද යකෝ වැටෙද්දිම විසිල් එක ගහපු එකා, රගර් මැච් එකක් මතක් උනා",YES
419,ඕකා තාම පනපිටින්ද. නැත්තං ආයුධ පෙන්නන්න එක්ක ගිහින්වත්ද,YES
420,පොලිස්සියේ එවුන්ට ..බදක කිගදිවිම පුහුනු කල එ ..සුදු මහත්තයාට ස්තුති.,YES
421,Ara miniha oxygen nethuwa merenne,YES
422,මූ හැකර් කෙනෙක්. ඒකයි ඔච්චර තද හමුෆ්හාව්ලින් ගේමක් නැතුව බේරිල ඇවිත් මිශන් එක ගැහුවෙ,YES
423,Policiye un hithan inne LTTE karayek ahu una kiyala,YES
424,මූව පොහොට්ටුවෙන් පාර්ලිමේන්තු යවමු,YES
425,Podikale hora polis den trend ekata ewilla wage,YES
426,Jonah lomu වගේ යකෝ ට්‍රයි එක තිබ්බේ,YES
427,4 simawata giya eka hatharak reka genimata noheki unaa,YES
428,Ara Police lokkath rugby gahapu ekek mama hithanne,YES
429,patta Try eka. SI kenekds koheda kohoma hari Tackle kara,YES
430,එක සුද්දයි මුලු පොලිසියමයි මෙ පාර ඔය පරාදයි දගයො..,YES
431,Suddage athe ruger ball ekak thibbanam maru..,YES
432,සුද්දගේ තුනෙන් එක බලය හෙළිවෙලා,YES
433,Munta puluwanne bila yana ahinsaka minihak alla ganda tama?,YES
434,සුද්දගෙ තැන ලංකාවේ එකෙක් උනානම් අම්මෝ නේ,YES
435,ඉතින් කෝමදැ හොරෙක්වත් අල්ලගන්නේ,YES
436,Galu policeyama awwilla yako.,YES
437,ඉතින්කොහොමද හොරෙක්වත් අල්ල ගන්නෙ........,YES
438,හෙට ඉදන් කොයි අයියත් මේ අයියට සැලැන්ඩර් මල්ලි..,YES
439,ඇයි යකෝ පාර්ලිමේන්තුව විසුරුවා හැරියාම මෙච්චර බය.මේ වෙලාවෙදි ගත්ත හොදම තිරණය තමයි මේ ගත්තේ.රනිල්ට ඔච්චරම මිනිස්සු කැමති නම් ඡන්දයක් තියලා බලමු,YES
440,උබල නේද ජනාධිපති කලෙත්..අම්මෝ ඒ කාලේ උබ දීපු ටෝක්,YES
441,admin manta apith kamathi nha mahindatath kamthima nha unp nm ponil enna kn katha krla wdk nha eth lokka gaththe gnna thiyena hdma thirane,YES
442,මහින්ද අරින අස්සෙ හිටං කාරයත් පැත්තකින් ඇනලා ජාතක උන උං නෙ මෙච්චර කල් මහින්දට අප්පොච්චි කියල තියෙන්නෙ... හෑ යකූ මේමත් සප්ප්‍රායිස්,YES
443,ඒ මනුස්සයට දරු මුණුපුරන් ඉන්නවා..රටක් මතු පරපුර වෙනුවෙන් ඉතුරු කරන්න ඕනී හින්දයී හරි තීරණයක් ප්‍රමාද වී හෝ ගත්තේ .එහෙම නැති උන්ට කොයින්ද රට ගැන කැක්කුමක්..,YES
444,Ithin hodaine karapu de.kage unath prathipaththi weradinam me tika thama wenna one.,YES
445,ඇයි යකෝ පාර්ලිමේන්තුව විසුරුවා හැරියාම මෙච්චර බය.මේ වෙලාවෙදි ගත්ත හොදම තිරණය තමයි මේ ගත්තේ.රනිල්ට ඔච්චරම මිනිස්සු කැමති නම් ඡන්දයක් තියලා බලමු,YES
446,KISI PRASNAYA NAHE APE RATE SALLI THIYENAWA KABASINIYA KARANNA THAWA ONE THARAM,YES
447,Meeta pasu lankawe chandayak awashshmanatha. Mewage vihilu monaratakawath nathuwa athi.,YES
448,Parliment eka විසුරුවා janathawatama oka bara dunna eka hodai.mokada parliment eke inna horu relamani thoranne.eka e minissunta nodee ජනමතයට ida dunna eka hodai kiyala hithnawa..,YES
449,සල්ලි වලට විකිනිලා ඔලු මාරු කරලා රටේ ප්‍රජාතන්ත්‍රවාදය හදන්න බෑ...ජනතාව තිරනය කරන්න ඔනේ,YES
450,මේ වීඩියෝ එක බලලා පිට්පොකට් ගැහිල්ල බලන්න එන්න අද දැම්මේ අලුත් එක උනු උනු ඒවා,YES
451,මොවුන් සියලුදෙනා අවීචී මහා නරකයේදී නැවත හමුවෙලා කල පව් ගැන දුක්වෙයි..,YES
452,Lokaya dunu wena kale meyala apassata yanna hadanne.. Seegiri situwam ugayata nawata yannna epa. Pls,YES
453,බොරුවක් කියලා හිතෙන අය like ekak දාමු...,YES
454,Noize tv උන් FILT ව HIT කරනවා කාලෙකට උව බල්ලට දානවා මුන් මෙ ගහන්නෙ ගෙමක් කියලා හිතෙන උන් ලයික් එකක් දා...න්................... මුන් හදන්න උබලගේ ඔලු වලට උ ගැන නරක අදහසක් දාලා ආයෙ උව ගෙනල්ලා උ හොදයි වගෙ පෙන්නලා උව හිට් කරන්නයි,YES
455,munta eka miniyek madi ekai,YES
456,Europe wala inna suddiyo best munta wada..,YES
457,මේ වගේ කිසි වැඩක් නැති එවුන් කරපු කිසිම වැඩක් නැති වැඩකට trending එන්න තරම් ලංකාවෙ මිනිස්සු මෝඩ ද.,YES
458,මේක බලා මුන්ට ඇන්දුනු එවුන් මේ පැත්තට වර...මුන් negative promotion මචං මේ කරන්නෙ...මුන්ට ඕනි views.. ඒකට දැන් ලෝකෙ ගොඩාක් චැනල් කාරයෝ කරන්නෙ negative promotions...අපිත් උන්ගෙ කුණු බලන්ඩ බලනවා...දැන් හොද දෙයක් බලනවට වඩා කෙනෙක්ගෙ නරකක් සමාජ ගත කරන්ඩ පට්ටම ලේසියි...,YES
459,Fill T ගේ විඩියෝ එක පේමස් කරන්න කරන කුමන්ත්‍රනයක් බන් ඕක,YES
460,monawada oii mewa...thamuselath views ganna ona jarawak danawa.. wadagath deyak dala ratata wadak athi deyak karala salli hoyanawa..,YES
461,මේක අනිවාර්යෙන් රඟපෑමක් වෙන්න ඕන මොකද noize tv channel එකත් filti ලාගෙ ඔබටත් ඒක තේරුම් ගන්න පුළුවන් නම් like කරන්න,YES
462,Un denatawath nathi prashnane meke comment karanna apu unta thiyenne,YES
463,මෙතන වෙන මොකක් හරි සීන්නෙක් තියෙන්නෙ කියල හිතෙන්නෙ මට විතරද,YES
464,ඉරාජ්ද මේ ගේමත් ගැහුවෙ සිංදුව ප්‍රමෝට් කරන්න ඕක තඩි බොරුවක් ඇඩ් එකක්,YES
465,"( මේ කමන්ට් එක කියවයි ද කියලවත් දන්නේ නෑ ) ඒත් දෙයක් කියන්න ඕන ලංකාව කියන සංස්කෘතික උතුම් රටක මේ වගේ වෙස් ගත් මිනිස්සු ඉන්න එක පුදුමයක් වගේ , කොච්චර දුක් කරදර ආවත් නම්බුව රැකගත් මව්වරු පියවරු ජීවත් වෙච්ච සමාජෙක් මුදලට අලෙවි වෙන මහ පහත් ජාතියේ ගෑණු කොටසක් , ඒක පස්සෙන් යන පිරිමි කොටසක් , රටේ කතාබහට ලක්වෙන්න ඕන දේවල දහස් ගණන් තියෙද්දී මේ වගේ පහත් දේවල් ට්‍රෙන්ඩ් කරන් මාධ්‍ය කොටසක් , ඇයි බන් ලංකාව මෙහම , එන්න එන්නම් විනාශ වෙන්නේ අපේ දරුවන්ට හදන්න ඕන අනාගතය නේද , ටිකක් හරි හිතමු බන්",YES
466,මේ ලංකාවේ ද කියලා හිතෙනවා .ඇයි මෙහෙම හැසිරෙන්නේ .නිරුවත හැමෝටම පෙන්නන්න එපා...ලංකාව මේ තරම් පිරිහිලාද,YES
467,කලින් දවසක කිවුව මතකද අලුත් වැඩකින් හම්බෙමු කියලා? ඒක තමා මේ. මේක රගපෑමක් පමණි. ඉරාජ්ගෙ පට්ට මාකටින්,YES
468,එක්ස්පයරමන්ට් අශේනයව දැක්ක උන් මේකට ලයික් දගනයමන්..,YES
469,hasini kochchara samajeta hoda kiyagena awata wadak na.badina dawase wena ekek ekka haadakam karanawa me video ekenma penawa.ekita salli witharai wadagath.,YES
470,අනේ මුන්ගෙ බොරු මාර්කටින් වලට අහු වෙන ගොබ්බයො සෙට් එහෙකුත් ඉන්නවනේ එනිවේ Iraj අයියා Buggatiයක් වත් බස්සයි ලගදිම,YES
471,ඇයි ඇදුම් හරියට ඇදගන යන්න අපිට ලැජයි මෙ වගෙ නිලියන් ඒවා,YES
472,hari medda wedasatahane filltiwai hashiniwai vitharak genella palu gedara walang bindhe aei ? aei filltita viruddawa awa cumens block kale aei oke therumada hari medda kiyanne,YES
473,hasini gei filt gei song ekak yako meee...hammeeee marketing ting ting....,YES
474,"සිංහල ගායක ගායිකාවෝ හැමදාම නහයෙන් අඬන නිසා මම ලේසියෙන් අලුත් සිංහල සිංදු අහන්නේ නෑ, ඇහුවත් එක පාරක් අහම්බෙන් වගේ තමා. හැබැයි මේ සිංදුව ඕන කමින් කී පාරක් ඇහුවද මන්දා. Visual එකත් හොදයි. ගොඩ කාලෙකින් අහපු හොදම සිංදුව වගේම මේ කාලේ ආපු හොදම සිංදුව",YES
475,"ගැනුන්ගේ නිරුවත බලන්න ආසයි, එකේ රහසක් නැහැ. හැබයි පහුගිය කළේ සිද්ද වුනේ ඒ නිරුවත විකුනපු එක. නිරුවතින් ගොඩ යන්න පුළුවන කියල වැඩ කරපු අයට මේක වැටහේවා. ඒ නිරුවත නැති කරලා, මේ කරපු ආදරණිය කතාව ලස්සනයි. ගැහැනියගේ නිරුවත විකුණන් කන මිනිසුන්ට පාඩමක්...",YES
476,හෙලිවැලි විෂුවල් වලට විතරද ට්‍රෙන්ඩින් වෙන්න පුලුවන්... මෙන්න වැඩ. මයිල් කෙලින් වෙන විෂුවල්...,YES
477,ඊලග පරම්පරාව මේක නොවේදෝ.මට හිතෙන විදිහට කසුන් කල්හාර පරම්පරාව ඇරැනහම ඊලගට අපට පෙනෙන අනාගතය මෙය වෙයි හැබෑවටම...,YES
478,"meka yakooo..marai bn umbe hakiyawa,hiniyta dena kindi thama pattama",YES
479,මොකක් කමෙන්ට් කරන්නද කියලා හිතලා හිතලා බැරිම තැන අතඇරලා දැම්මා.,YES
480,අම්මෝ එකටනම් හොටුත් පැන්නා මාවත් SUBSCRIBE කරල Help එකක් දෙන්න පෙන්ස්...,YES
481,"කොමෙන්ට්ස් කියවන එක සෝක්, කැතයි හොදේ සැක හිතෙනවනේ බං ඔහොම හැසිරීම්",YES
482,"යකෝ..වීඩියෝ එක බැලුවට වඩා,කමෙන්ට් කියවල ආතල් එකක් ගත්තා",YES
483,අත්තටම අදරෙකට marry කලනම් මෙහෙම කතා කරන්න පුලුවන්ද .මෙ මිනිස්සු marriage එක කියන්නෙ මොකක්ද කියල දන්නෙ නැ.හශිනි තමනට උන ලජ්ජාව වහගන්න විශ්වව marry කරන්න හදල තියෙන්නෙ.ඔයලා වගෙ ගැනු අත්තටම ලජ්ජවක්.marriage එක කියන්නෙ ලොකු hotels වල grand wedding එකක් ගන්න එක නෙවෙයි . අදරය විශ්වාසය එකිනෙකාටතියන respect එක මත පවතින දෙයක්.ඔයලගෙ තියෙන්නෙ හරිම් හිස් ජීවිත.බොරු ශො එක විතරයි .,YES
484,සරාගී ගැහැනිය සමග නිදන්නට සියලුම පිරිමින් කැමතී ..නමුත් දීග යන්නේ ගෞරවය රැකගත් ගැහැනිය සමග පමනයී..,YES
485,මේ දෙන්නම බොරු කිව්වේ . දිවට හොරෙන් බොරු කිව්වා .,YES
486,ඩෙටා කාගෙන බලලා කමෙන්ට් ලයික් දාල කරලා කරෙ ලොකු පින් කමක් තැන්ස් හැමොටම මීට....... ඉරාජ් ඇතුලු noize tv සැට් එක,YES
487,ලංකාවෙ මොකක් හරි කන්ඩායමක් බිහිවෙන්න ඕන මේ වගේ රටේ සංස්කෘතිය විනාස කරන උන්ට පුද්ගලිකව දඩුවම් දෙන..එක්කො අතක් පයක් කඩල හරි එහෙම නැත්නම් මේ වගේ එකෙක්ව උස්සල අම්බානකට දීල හරි හදල එවන්න පුලුවන් ටීම් එකක් ඉන්නව නං මේ වගේ උන් සමාජෙට බිහිවෙන්නෙ නෑ...අන්න ඒක ඉක්මනට වේවා කියල ප්‍රාර්තනා කරනව,YES
488,විවාහයක් කියන්නෙ මොකක්ද කියලවත් දන්නෙ නැති උන් විවාහ උනාම... ඔහොම වෙනවා... ජනප්‍රිය වෙන්න ඇට ලේ මස් විකුණනවා. නමුත් ආදරයේ හරි අර්ථය හොයන්න ඔච්චර දගලන්නෙ නෑ... ලංකාවේ විවාහ උත්සවයක් හෝ engagement එකකින් දෙන්න ඕන ආදර්ශය ඕක නෙමෙයි,YES
489,හසිනි හරි දෙයක් කිවුවා මොනා උනත් . හසිනිව සැක කරන්න විෂ්වට බැ .මොකද එ එන්ගෙච් එකෙදි උනත් විෂ්ව ගැනු එක්ක නටපු විදිය හැසිරුනු විදිය. එ වගෙම පියුමිගෙ උපන්දින ස්ප්‍රයිස් එකෙදිත් විෂ්ව ඇදුන් නැතුව පියුමිගෙ කබරෙ ඉදියා. එම කරන ඌට බැ මෙකිව සැක කර්න්න . දෙන්නම එකයි,YES
490,"වැඩි වුණු පාර වෙන්න ඇති ගුටි ගහ ගන්න ඇත්තෙ. අනේ මේ නංගි, අහලා තියෙන විදිහට ඔයාගෙ වසය තාම 20යි. අද ඔයාට මේ දේවල් පේන්නෙ හරි විනෝදෙට වෙන්න පුළුවන්. ඒත් තව අවුරුදු දහයක් පහළවක් ගිහින් ආපස්සට හැරිලා තමන්ගෙ ජීවිතේ ගැන බලනකොට අන්න එදාට ඔයා අඩයි ඔයාගෙ අත් දෙකෙන්ම ඔයාගෙ ජීවිතේ විනාස කරගත්ත විදිහ මතක් වෙලා. එදාට ඔයා පරක්කු වැඩි වෙයි. මං දන්නෙ නෑ මේ ළමයට දෙමව්පියො කියලා අය නැද්ද කියලා. ඉන්නවා නම් ඇයි මේ ළමයා මෙහෙම විනාස වෙන්න ඇරලා බලන් ඉන්නෙ. අඩුම තරමෙ ඉස්කෝලෙදිවත් හොද නරක ඉගෙන ගෙන නැද්ද",YES
491,ඇත්තටම දුකක් අනුකම්පාවක් තියෙන්නෙ නංගි ඔයා ගැන. මාත් ඔයාට වඩා අවුරුදු තුනයි වැඩිමල්. මටත් ජීවිතේ ගැන ලොකු තේරුමක් නෑ තාම. ඒත් අපේ දෙමව්පියො අපි අතෙන් වරදක් වෙනවා නම් ඒක හරිගස්සගන්න විදිහ කියලා දෙනවා. ජීවිතේ වරදින්න නොදී අපිව ආරක්ෂා කරනවා. මොනා වුණත් ඔයා තාමත් පරක්කු නෑ. ඔයාට දැන් වුණත් පුළුවන් ඔයාගෙ වැරදි සේරම හදාගෙන ආපහු හොද විදිහට අලුතෙන් ඔයාගෙ ජීවිතේ පටන් ගන්න. එහෙම වුණොත් ඔයාට ඉතිරි ජීවිත කාලෙම සතුටින් ඉන්න පුළුවන් වෙයි.,YES
492,Kwd hutho thmge kollt bainkm bln inn geni.munt benla wedk ne mun badu gon badu.oya eha peththe inn anith hiaptuwa oka isra amma gena sindu qwe eda asewn e dewl ghuwe ada mu ponneyk thani ponnya.thwa deyk oya හසිනිගෙ wedding ekt ek wedgth kiyn nluwek awd ne ekn hitha gnn puwnm mun serm badu kiyla. ලංකාවේ සංස්කෘතිය බල්ලට වැටිලා.munwa ෆොම් krnn epa bolw.,YES
493,Niraparade nasthi una jeewitha. Vivahaya kiyana eka meyalata sellamak. Ada banda heta divorce una hariyata instant noodles ekak wage. Vivahaya kiyana wachne hari therumawath danne na meyala. Giya athme karapu pawak me gewanne e unata eka therum ganna ba danma meyalata. Thawa awrudu 30k yaddi therei. Lassana pawl jeewithayak gewannath pina thiyenna ona. E pina meyalata na. Karmayata anuwa meyalage me jeewitheth idiri jeewithayath theeranaya wei,YES
494,"මල ලතෝනි අහල අහල හෙම්බත් වෙලා හිටපු කලෙක මේ වගේ සුප්පා songs කරනවට ගොඩක් තැන්ක්ස් බ්‍රෝ.සුබ පතනවා. මම මේක සිය වතාවක් විතර අහන්න ඇති. සින්දුවක් කියන්නේ මොකක්ද කියල කිවොත් අනිත් නිරුවත මාකට් කරන උන්ටයි, මල ගෙදරක වගේ ලතෝනි තියන උන්ටයි කනට දෙකක් ගහල සනුකව පෙන්නන අපිට පුළුවන්. උබ අලුත් යුගයක අලුත් පරම්පරාවක ආරම්බය බන්.සතුටුයි",YES
495,"අපි ඉල්ලපු වෙනස ,,,, මල් සින්දුකාරයිනි, මේ ඔබේ අවධානය පිණිසයි ..",YES
496,Me song eke sansara sihinaya tittle ekath dapu eke ma nubhe kumara kiyala demmanam hodai mokada ekane wediyenma kiyanne,YES
497,ළඟ ළඟ head එක යවන්නෙපා බොල...... සරාගයේ පිස්සුව හොඳ වෙන්නත් කලිං මේක..... හඳේ ඉඩං කෑල්ලක් ගන්න වෙයි වගේ. Suppper Song Bro....,YES
498,Fil T කාලා ලෙසටම නැත්තන් ඔච්චර නහයෙන් අඬ අඬ මෙහෙම ගැහුවා අරහෙම ගැහුවා කියන් නෑ,YES
499,යකුනේ මහින්ද රනිල් ෆ්‍රේම් එකෙන් පැනපියව් එලියට. කොයි විදියට හෝ දැං පීඑම් ම.රා. ඒ රටේ මුල් පුරවැසියගේ තීරනේ. රටට යහපතක් වේ නම් එච්චරයි. නැත්නම් අපේ කොල්ලෝ ජීවිත නැති කරන් බේරගත්ත රට රැකගත්තේ නෑ කියලා අපිට හෙන ගහනවා. මතක තියා ගනිල්ලා. ත්‍රිවිද හමුදා නැත්නම් අපි සේරම වලපල්ලේ,YES
500,සමහර මිනිස්සු හෙන ගහනවා වගේ කියන කතා වලින් කලකිරෙනවා ඔක්කොම .කිසිම දෙයක් බලාපොරොත්තුවෙන් නෙවේ අපි උන් එක්ක ඉන්නේ උන් බලන්න යන්නේ.ඒත් අන්තිමට උන්ම සැර දානව එන්නෙපා අරක මේක කියලා අපි හේතු දන්නෙත් නෑ.අවුරුදු ගාණකට ගමෙන් නගරයෙන් පිටවෙලා යන්න මේක තමා කාලය.තීරණක් ගත්තා.,YES
501,ආතල් එකේ ඉන්න කොල්ලෙක්ට කෙල්ලෙක් සෙට් උන මුල්ම දවස් වල කෙල්ල - ඔයා මරු අනේ.. නිතරම විහිලුවෙන්මයි ඉන්නෙ.. ටික කාලෙකට පස්සෙ කෙල්ල - ඔයාට හැමදේම joke එකක් ද?? ඇයි බං! ඇයි මෙහෙම!!,YES
502,කොල්ලා එක්ක කාබර කාබර ගානේ රිංගලා පොටෝ ගැහුවා වගේ නෙවෙයි නඟේ...පැණි වරකා ගහටත් හෙන ගහනවා කියලා මතක තියාගන්න,YES
503,මුං හින්දා උබලා රණ්ඩු වෙන්න එපා බං රටට යහපත් දෙයක් කරලා තියෙනවා නම් මුං ගැන ආඩම්බර වෙන්න තිබුණා ඔක්කොම එකයි එකෙක් දෙනෙක් කරන වැඩ වලට මුළු සංහතියටම නරක නමක් අපේ රටේ තවත් හොඳ නිලියන් ඉන්නවා තිසුරි ඒවගේම තවත් අය ඉන්නවා මේ වගේ ගොන් ආතල් අරං නෑ. අනික තමයි ඕනම වෙඩිමකදි මනමාලයා හා මනමාලි කාවත් වඩාගෙන නටන්නේ නෑ තමන්ගේ අයිතිකාරයා ඇරෙන්න අනික වෙඩිමෙදි වෙඩිම දාලා යාළුවෙක් එක්ක උනත් ඒ ස්ථානයෙන් පිටව යන්නේ නෑ මේකේ ඇත්ත නැත්ත අපිට වැඩක් නෑ ඒත් අපි කියන්නේ හරි යහපත් දෙයක් කරන්න තමන්ට වරදින්නේ නෑ කියලා විතරයි,YES
504,fity උබ රටට ලොකු විනාශයක් උබ සින්දු කියලා YouTube එකේ අප්ලෝඩ් කරන්නේ දඩාවත වීඩියෝ උබගේ මුහුනේම දඩාවත පෙනුම තියෙනවා කරුණාකරලා ජරාව වීඩියෝ ප්‍රසිද්ධ කරන්න එපා,YES
505,මේ රටේ මොන තරම් දේවල් තියනවද මාධ්‍ය හරහා මිනුසුන්ව දැනුවත් කරන්න . මේ වගේ වැඩකට නැති අසභ්‍ය විදිහට සමාජ සාරධර්ම කෙලසන. ගණිකාවන් හට ජනප්‍රියත්වය ලබා නොදී. ඔබේ මාධ්‍ය ප්‍රයොජනවත් දෙයකට යොදවන්න.,YES
506,පින් සිද්දවෙයි සිංහලෙන් කතා කරපල්ලා.නැත්නම් ඉංග්‍රීසියෙන් කතා කරපල්ලා.මෙයාලගේ කතාව නම් අහන් ඉන්න ලැජ්ජයි,YES
507,ඔවු ගොඩාක් හොදයී ඉදුණිල් මහත්තයා අපි දුර ඉදන් හරි බලන්නම් අපේ ගමේ නිතර එන කෙනෙක් ගොඩාක් අයට උදවු කරලා තියෙනවා මට හැර,YES
508,තියන අයට දෙනවට වැඩියෙ අසරන අය කොච්චර ඉන්නවද එ් අයටනෙ දෙන්න ඔිනා.,YES
509,අපෝ නැ එයාලට ඔන අයට ව්තරයි උදවු කරන්නේ අපිට මොනවාද කරන්නේ එයාලා හැමදාම පොරොන්දු ව්තරයි මං මෙහෙම කීවාට තරහ ගන්න ඔන නැ ඇත්ත කටත් තිත්තයි,YES
510,OBALAATA...KMID...KARANNA..PRAMAADA..UNAA...MAMA..KAAMA..KANIN..GAMN...DANSALA..BALUWE...GOODAK..PIN..AMATITUMANI....UPADINA...AATMAYAKA...RAAJIYATA...RAJIKMA...WEEWAA....POOHOODINA...BUDUSARANAII,YES
511,මහත්තයෝ ඔයාගේ ක්‍රියාවලිය හොදයි .ඔයාගේ නමට .නමුත් මම හිතන්නේ ඉන්න හිටින්ඩ තැනක් නැති ..එක මිනිහෙකුට උදවු කෙරුවා නම් ඔයිට වඩා ලොකු පිනක්...,YES
512,Desha palanaya adala naha..kala wade agaya karanawa yate aramuna kese wetath karapo de uthum danayak ..mokada ada Rs 100k wath nathi pawol. ada api athara innawa mahaththayo .. samaharu ahai 100kin mokak karnnada kiyala aeth sathayak.wath nathi welewe ae 100th kotiyak watenawa,YES
513,මෙවගෙ බාල දෙවල් කරල සතුටු වෙන්න එපා මත්තයො ඔයා බොඩ් එකේ දාලා තිබුනනම් දෙන්නෙ100ය් කියලා මිනිස්සු ඔච්චර එනවද අද වගෙ උතුම් දවසක මිනිස්සු රවට්ටලා පව් සිද්ද කරගන්න එපා,YES
514,U.n.p.eke badumkara dansalin passe thiyapu palaweni dannsala .u.n.p.. un thaniyama ne kawe badam kare dansala unta hithata madi kamak wenna ethi me ahisaka janathava mudal dansal dena kota,YES
515,ගැහුවොත් ගහපං මැරුවොත් මරපන් එකට එක කරපං..... ඒකද අපේ අපේක්ෂාව.. ඒකටද අපි මිනිස්සු වුණේ... රටේ උත්තරීතර තැන මේ ඉන්නේ ඊට සුදුස්සොද මේ මහජන නියෝජිතයෝද ... කණ්නාඩි පාට නැතුව කල්පනා කරන්න.,YES
516,මෙය දකින වාරයක් පාසා මගෙ නෙතටත් කදුලු උනනවා...මගේ පුතුන් ටත් මේවැනිම හැගිමක් ඇති නේ කියලා පිය සෙනෙහස සෙව්වත් ඔවුන්ගේම අනගතය සරිකරලීමට දුරු රටක මේ ගෙවන කටුක ජිවිතය,YES
517,oyaga Rail mhatayata minisu chanda Dunbar magma koranta tame nmuth it a klalin central bank akata Wada dunana(hour wanuvan horu una),YES
518,රනිල්ව එලවන්න ඕන නම් ඒක විශ්වාසභංගයක් හෝ අය වැය පරාජය කිරීමක් මගින් පහසුවෙන් සහ විවස්ථාව කඩ නොවෙන ආකාරයට කරන්න තිබුණා ලෝකයා හිනස්සන්නේ නැතුව,YES
519,Sobitha hamuduruwo hitiye nathi eka num loku deyak.. un wahanse me de dakke nathi eka hodai eka athakin,YES
520,දෙමාපියන් මෙහෙම අසරන කරන්නෙ ඇයි දෙවියනි,NO
521,"
මුළු ලෝකයම අපට විශාල ගැටලුවක් තිබේ: මුස්ලිම්වරු! මම ඉන්නේ යුරෝපයෙන් සහ තවත් මුස්ලිම් ජාතිකයන් අප වෙත පැමිණි අතර ඔවුන් වඩාත් අපරාධ සහ අප වෙත එරෙහිව සටන් කරති. අපි සියල්ලන්ම මුස්ලිම්වරු සියලු දෙනාටම ලෝකය නවත්වන්නෙමු!",YES
522,"
පළමුව, ඔබේ ජනතාව අහිංසක මිනිසා ඝාතනය කිරීමේ ක්රියාවලිය ආරම්භ කරමු. ඔයා හැමෝටම මිලක් ගෙවන්න වෙනවා ... රුධිරයට රුධිරය .... ඒ සියල්ලම. ඔබ සිවිල් යුද්ධය ආරම්භ කරමු ... අපි එය දන්නවා.",YES
523,"
ඔයා? අපගේ සොල්දාදුවන්ට දොස් කියන්නෙමු! අපේ ඊනියා මුස්ලිම් ඇමතිවරුන් 22 දෙනා කරන්නේ කුමක් ද?",YES
524,"
ලංකාවෙන් පිටවෙන්න",YES
525,"
ශ්රී ලාංකික මුස්ලිම්වරුන් වෙනුවෙන් යාච්ඤා කරන්න. ශ්රී ලංකා බෞද්ධ බෝධීන් වහන්සේලාට ප්රහාරයක්",NO
526,"Not budda r
terrorists.. Islam terrorists... kohomath Islam kiyanne ithin tharsthawadi agamak ne ithin.. thopila wa pana pitin tiye wala dala gihi thyna a one",YES
527,thopila hedigewila yanna one..kalakanni hamba heththa,YES
528,එය මුළු ලෝකයම කොහෙත්ම නොපෙනෙන තත්ත්වයක් බවට පත් වේ. මුස්ලිම්වරු සමහර විට මුස්ලිම්වරුන් සමහර විට විනාශ කරති.,NO
529,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,YES
530,"
මුස්ලිම්වරු ප්රකෝප කිරීම නවත්වන්න: ඔවුන් දින 17 ක් දිනකට ශාප කරති!",YES
531,"
ඔව්, මුස්ලිම්වරු උඹේ ඩෝග්ස් ... එපා ... එපා මොනතරම් ලජ්ජාවක්ද! ඉස්ලාමිය",YES
532,"කිසිම කිතුනුවකු යාච්ඤා කළ යුතු අතර, මුස්ලිම්වරුන් සාමකාමී ලෙස ක්රිස්තියානි ආගමට හැරවීමට උත්සාහ කරති",NO
533,නොම්මර එකේ බුකී කාරයා සභාපති පුටුවේ තියන් ටෙස්ට් තත්වෙ හරි රැකගෙන ඉන්නවට අපේ කොල්ලො ටිකට තැගි දෙන්න ඕනෙ...,NO
534,.දැක්ක නේ පිච් කපල මැච් විකුනපු හැටි..ටොස් දිනල මැච් විකුණපු හැටි...මාලිංගට බෝල් නොදී මැච් විකුණපු හැටි.. 350 ක් ගහන්න පුඵවන් මැච් එකේ කොහේවත් නැති එකෙක් බැට් එක උස්සන් ඇවිත් 313 ට ලකුණු සීමා කරලා මැව් පරද්දපු හැටි.........,NO
535,අනේ...මේ කිරිකැටියන්ට තේරෙනවයැ ඇඳට ගෙනියනකන් ඕව! තම්බියොන්ට චූටි කෙල්ලොන්ගෙන් උපරිම සතුට ගැනීමට සහ සමස්ත ඉස්ලාම් පිරිමින්ගේ වාසියට ම ඔවුන්ගේ ලොක්කා සාදා ගොස් තිබෙන ආගමික නීතියේ අප දකින එක් විවාහ උත්සවයක් පමණි මේ!,YES
536,"අද ජාතිවාදී ලේබලයට බොරු බියක් ඇති කර ගෙන නිහඬව සිටින ඔබට යි මේ කියන්නේ... ඔබලා නං කාලා බීලා ජොලියෙන් ඉඳලා හරි හම්බත් කරලා මැරිල යයි! මතු දිනෙක ඔබේ මිණිබිරිය හෝ ඔවුන්ගේ ¥වරු මුස්ලිම් ලංකාවක, මෙම ව්‍යසනයට ගොදුරු වනවා නිසැක ය.",YES
